# Listed companies matched to week 4 clients and filing firms by exact normalized name; SIC from the SEC submissions API, NAICS sector by week04_sec.sector_of_sic().
key,cik,ticker,sec_name,sic,sic_description,naics2,filings
VERTIV,0001674101,VRT,Vertiv Holdings Co,3679,"Electronic Components, NEC",31-33,97
FEIN 223850167,0000350698,AN,"AUTONATION, INC.",5500,Retail-Auto Dealers & Gasoline Stations,44-45,97
ROYAL BANK OF CANADA,0001000275,RY,ROYAL BANK OF CANADA,6029,"Commercial Banks, NEC",52,96
FEIN 043490493,0001262976,CMPR,CIMPRESS plc,2750,Commercial Printing,31-33,96
FEIN 391434669,0000818479,XRAY,DENTSPLY SIRONA Inc.,3843,Dental Equipment & Supplies,31-33,96
FEIN 760533927,0001158114,AAOI,"APPLIED OPTOELECTRONICS, INC.",3674,Semiconductors & Related Devices,31-33,95
CENCORA,0001140859,COR,"Cencora, Inc.",5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",42,94
FEIN 460525483,0001002638,OTEX,OPEN TEXT CORP,7373,Services-Computer Integrated Systems Design,54,94
FEIN 261318190,0000026780,DAN,DANA Inc,3714,Motor Vehicle Parts & Accessories,31-33,94
FEIN 941390387,0000745732,ROST,"ROSS STORES, INC.",5651,Retail-Family Clothing Stores,44-45,93
FEIN 384017666,0001582961,DOCN,"DigitalOcean Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,93
SCHNEIDER NATIONAL,0001692063,SNDR,"Schneider National, Inc.",4213,Trucking (No Local),48-49,92
FEIN 710130170,0001569650,OZK,Bank OZK,,,,92
ACADEMY SPORTS AND OUTDOORS,0001817358,ASO,"Academy Sports & Outdoors, Inc.",5940,Retail-Miscellaneous Shopping Goods Stores,44-45,92
FEIN 954284541,0001490978,SDGR,"Schrodinger, Inc.",2834,Pharmaceutical Preparations,31-33,92
FEIN 061249050,0001707925,LIN,LINDE PLC,2810,Industrial Inorganic Chemicals,31-33,91
TORONTO DOMINION BANK,0000947263,TD,TORONTO DOMINION BANK,6029,"Commercial Banks, NEC",52,91
FEIN 952388156,0001289308,ENS,EnerSys,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",31-33,91
BRUNSWICK,0000014930,BC,BRUNSWICK CORP,3510,Engines & Turbines,31-33,91
FEIN 930797222,0000873303,SRPT,"Sarepta Therapeutics, Inc.",2834,Pharmaceutical Preparations,31-33,91
FEIN 272976158,0001617553,ZIP,"ZIPRECRUITER, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",54,91
PPL,0000922224,PPL,PPL Corp,4911,Electric Services,22,90
MOSAIC,0001285785,MOS,MOSAIC CO,2870,Agricultural Chemicals,31-33,90
FEIN 954766827,0001386278,GDOT,GREEN DOT CORP,6199,Finance Services,52,90
FEIN 770466789,0001280452,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",3674,Semiconductors & Related Devices,31-33,89
FEIN 522294957,0001527166,CG,Carlyle Group Inc.,6282,Investment Advice,52,89
FEIN 043744954,0001237831,GMED,GLOBUS MEDICAL INC,3841,Surgical & Medical Instruments & Apparatus,31-33,89
FEIN 592921318,0000913760,SNEX,StoneX Group Inc.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",52,89
AVNET,0000008858,AVT,AVNET INC,5065,"Wholesale-Electronic Parts & Equipment, NEC",42,89
FEIN 050376157,0001020859,UNFI,UNITED NATURAL FOODS INC,5141,"Wholesale-Groceries, General Line",42,89
FEIN 954318554,0000903129,THRM,Gentherm Inc,3714,Motor Vehicle Parts & Accessories,31-33,89
FEIN 541211771,0002011641,FERG,Ferguson Enterprises Inc. /DE/,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,42,88
KRAFT HEINZ,0001637459,KHC,Kraft Heinz Co,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",31-33,88
FIDELITY NATIONAL INFORMATION SERVICES,0001136893,FIS,"Fidelity National Information Services, Inc.",7389,"Services-Business Services, NEC",56,88
FEIN 363150143,0000730464,CVSA,Covista Inc.,8200,Services-Educational Services,61,88
FEIN 814421834,0001969302,PONY,Pony AI Inc.,7373,Services-Computer Integrated Systems Design,54,88
FEIN 541762351,0001847590,BWMN,Bowman Consulting Group Ltd.,8742,Services-Management Consulting Services,54,88
VERISK ANALYTICS,0001442145,VRSK,"Verisk Analytics, Inc.",7374,Services-Computer Processing & Data Preparation,54,86
CARMAX,0001170010,KMX,CARMAX INC,5500,Retail-Auto Dealers & Gasoline Stations,44-45,85
BRIGHTHOUSE FINANCIAL,0001685040,BHF,"Brighthouse Financial, Inc.",6311,Life Insurance,52,85
FEIN 454180440,0001625278,NRDS,"NERDWALLET, INC.",7374,Services-Computer Processing & Data Preparation,54,85
CONSOLIDATED EDISON,0001047862,ED,CONSOLIDATED EDISON INC,4931,Electric & Other Services Combined,22,84
FEIN 943221585,0001014473,VRSN,VERISIGN INC/CA,7371,Services-Computer Programming Services,54,84
FEIN 260197666,0001581760,LIF,"Life360, Inc.",7374,Services-Computer Processing & Data Preparation,54,84
FEIN 455211045,0001855747,BLND,"Blend Labs, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,84
ALNYLAM PHARMACEUTICALS,0001178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,31-33,83
FEIN 922623933,0001964738,SOLV,Solventum Corp,3841,Surgical & Medical Instruments & Apparatus,31-33,83
FEIN 753000378,0001177609,FIVE,"FIVE BELOW, INC",5331,Retail-Variety Stores,44-45,83
FEIN 462058888,0001581280,TWST,Twist Bioscience Corp,2836,"Biological Products, (No Diagnostic Substances)",31-33,83
FEIN 383519512,0001111335,VC,VISTEON CORP,3714,Motor Vehicle Parts & Accessories,31-33,83
FEIN 272546083,0001515673,RARE,Ultragenyx Pharmaceutical Inc.,2834,Pharmaceutical Preparations,31-33,83
FEIN 362467635,0001556739,THRY,"Thryv Holdings, Inc.",7310,Services-Advertising,56,83
ULTA BEAUTY,0001403568,ULTA,"Ulta Beauty, Inc.",5990,"Retail-Retail Stores, NEC",44-45,82
FEIN 472362151,0001773383,DT,"Dynatrace, Inc.",7372,Services-Prepackaged Software,51,82
FEIN 474596669,0001736541,NIO,NIO Inc.,3711,Motor Vehicles & Passenger Car Bodies,31-33,82
FEIN 112617163,0001280058,BLKB,BLACKBAUD INC,7372,Services-Prepackaged Software,51,82
FEIN 581910859,0001710155,EYE,"National Vision Holdings, Inc.",3851,Ophthalmic Goods,31-33,82
SOUTHERN,0000092122,SO,SOUTHERN CO,4911,Electric Services,22,81
ESTEE LAUDER COMPANIES,0001001250,EL,ESTEE LAUDER COMPANIES INC,2844,"Perfumes, Cosmetics & Other Toilet Preparations",31-33,81
FEIN 210419870,0000016732,CPB,CAMPBELL'S Co,2000,Food and Kindred Products,31-33,81
COURSERA,0001651562,COUR,"Coursera, Inc.",7372,Services-Prepackaged Software,51,81
FEIN 270903295,0001490281,GRPN,"Groupon, Inc.",7311,Services-Advertising Agencies,56,81
FEIN 472029180,0001628171,RVMD,"Revolution Medicines, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,80
FEIN 042742817,0000751978,VICR,VICOR CORP,3679,"Electronic Components, NEC",31-33,80
FEIN 953797580,0000837465,CALY,Callaway Golf Co,3949,"Sporting & Athletic Goods, NEC",31-33,80
FEIN 943394123,0001288847,FIVN,"Five9, Inc.",7374,Services-Computer Processing & Data Preparation,54,80
FEIN 414490828,0001530721,CPRI,Capri Holdings Ltd,3100,Leather & Leather Products,31-33,80
FEIN 264307177,0001626450,CMRC,"Commerce.com, Inc.",7372,Services-Prepackaged Software,51,80
FEIN 231274455,0000002969,APD,"Air Products & Chemicals, Inc.",2810,Industrial Inorganic Chemicals,31-33,79
FEIN 251214948,0000820318,COHR,COHERENT CORP.,3827,Optical Instruments & Lenses,31-33,79
STELLANTIS NV,0001605484,STLA,Stellantis N.V.,3711,Motor Vehicles & Passenger Car Bodies,31-33,79
FEIN 223056180,0000866291,ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Semiconductors & Related Devices,31-33,79
MATTEL,0000063276,MAT,MATTEL INC /DE/,3942,Dolls & Stuffed Toys,31-33,79
FEIN 420617510,0000048287,HNI,HNI CORP,2522,Office Furniture (No Wood),31-33,79
FEIN 112989601,0000103145,VECO,VEECO INSTRUMENTS INC,3559,"Special Industry Machinery, NEC",31-33,79
FEIN 042746201,0000876167,PRGS,PROGRESS SOFTWARE CORP /MA,7372,Services-Prepackaged Software,51,79
FEIN 470648386,0000793074,WERN,WERNER ENTERPRISES INC,4213,Trucking (No Local),48-49,78
SABRE,0001597033,SABR,Sabre Corp,7370,"Services-Computer Programming, Data Processing, Etc.",54,78
FEIN 116040273,0000105319,WW,"WW INTERNATIONAL, INC.",7200,Services-Personal Services,81,78
SYNCHRONY FINANCIAL,0001601712,SYF,Synchrony Financial,6199,Finance Services,52,77
FEIN 261196017,0001851003,ZETA,Zeta Global Holdings Corp.,7372,Services-Prepackaged Software,51,77
FEIN 741828067,0001035002,VLO,VALERO ENERGY CORP/TX,2911,Petroleum Refining,31-33,76
ENBRIDGE,0000895728,ENB,ENBRIDGE INC,4610,Pipe Lines (No Natural Gas),48-49,76
FEIN 061522496,0001067701,URI,"UNITED RENTALS, INC.",7359,"Services-Equipment Rental & Leasing, NEC",56,76
TAKEDA PHARMACEUTICAL,0001395064,TAK,TAKEDA PHARMACEUTICAL CO LTD,2834,Pharmaceutical Preparations,31-33,76
FEIN 752778918,0000030625,FLS,FLOWSERVE CORP,3561,Pumps & Pumping Equipment,31-33,76
FEIN 952770395,0001302215,HLI,"HOULIHAN LOKEY, INC.",6282,Investment Advice,52,76
FEIN 810971660,0001662991,SEZL,Sezzle Inc.,7389,"Services-Business Services, NEC",56,76
FEIN 930498284,0001050797,COLM,COLUMBIA SPORTSWEAR CO,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,31-33,76
FEIN 362512786,0000799288,LE,"LANDS' END, INC.",5651,Retail-Family Clothing Stores,44-45,76
FEIN 814290921,0001618756,QSR,Restaurant Brands International Inc.,5812,Retail-Eating  Places,72,75
FEIN 205446972,0001374310,CBOE,"Cboe Global Markets, Inc.",6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",52,75
FEIN 473898435,0001724521,RCUS,"Arcus Biosciences, Inc.",2834,Pharmaceutical Preparations,31-33,75
FEIN 941369354,0000771497,ABM,ABM INDUSTRIES INC /DE/,7340,Services-To Dwellings & Other Buildings,56,75
FEIN 943008969,0001838987,SPWR,SunPower Inc.,1700,Construction - Special Trade Contractors,23,75
FEIN 811884841,0001673743,HNGE,"Hinge Health, Inc.",7374,Services-Computer Processing & Data Preparation,54,74
FREEPORT MCMORAN,0000831259,FCX,FREEPORT-MCMORAN INC,1000,Metal Mining,21,73
CORTEVA,0001755672,CTVA,"Corteva, Inc.",0100,Agricultural Production-Crops,11,73
FEIN 911589568,0001725964,NTR,Nutrien Ltd.,2870,Agricultural Chemicals,31-33,73
FEIN 872092143,0001915657,DINO,HF Sinclair Corp,4610,Pipe Lines (No Natural Gas),48-49,73
FEIN 461932921,0001571123,SAIC,Science Applications International Corp,7373,Services-Computer Integrated Systems Design,54,73
FEIN 870282025,0001828962,CRCT,"Cricut, Inc.",3559,"Special Industry Machinery, NEC",31-33,73
FEIN 010627671,0001181412,SPCX,SPACE EXPLORATION TECHNOLOGIES CORP,7370,"Services-Computer Programming, Data Processing, Etc.",54,73
FEIN 521165937,0001120193,NDAQ,"NASDAQ, INC.",6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",52,72
PERFORMANCE FOOD,0001618673,PFGC,Performance Food Group Co,5141,"Wholesale-Groceries, General Line",42,72
FEIN 043416587,0001070081,PTCT,"PTC THERAPEUTICS, INC.",2834,Pharmaceutical Preparations,31-33,72
FEIN 272220139,0001551306,PGNY,"Progyny, Inc.",8090,"Services-Misc Health & Allied Services, NEC",62,72
FEIN 954752856,0001286139,LZ,"LEGALZOOM.COM, INC.",7374,Services-Computer Processing & Data Preparation,54,72
FEIN 930160700,0001173514,HY,"HYSTER-YALE, INC.",3537,"Industrial Trucks, Tractors, Trailors & Stackers",31-33,72
AON,0000315293,AON,Aon plc,6411,"Insurance Agents, Brokers & Service",52,71
FEIN 331218825,0001544522,FRSH,Freshworks Inc.,7372,Services-Prepackaged Software,51,71
FEIN 222816046,0001000694,NVAX,NOVAVAX INC,2836,"Biological Products, (No Diagnostic Substances)",31-33,71
FEIN 453084136,0001628908,EVH,"Evolent Health, Inc.",8741,Services-Management Services,54,71
LABCORP,0000920148,LH,LABCORP HOLDINGS INC.,8071,Services-Medical Laboratories,62,70
VOYA FINANCIAL,0001535929,VOYA,"Voya Financial, Inc.",6311,Life Insurance,52,70
FEIN 231498399,0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,3674,Semiconductors & Related Devices,31-33,70
FEIN 204473811,0001937926,BAM,Brookfield Asset Management Ltd.,6282,Investment Advice,52,69
FEIN 202164234,0001334036,CROX,"Crocs, Inc.",3021,Rubber & Plastics Footwear,31-33,69
FEIN 943065014,0000833640,POWI,POWER INTEGRATIONS INC,3674,Semiconductors & Related Devices,31-33,69
TERADATA,0000816761,TDC,TERADATA CORP /DE/,7372,Services-Prepackaged Software,51,69
FEIN 831825597,0001754301,FOXA,Fox Corp,4833,Television Broadcasting Stations,51,68
FEIN 592459427,0000789460,WKC,WORLD KINECT CORP,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),42,68
DXC TECHNOLOGY,0001688568,DXC,DXC Technology Co,7374,Services-Computer Processing & Data Preparation,54,68
FEIN 953069495,0001447100,YMHAY,"Yamaha Motor Co., Ltd.",8880,American Depositary Receipts,,68
FEIN 470248710,0000023217,CAG,CONAGRA BRANDS INC.,2000,Food and Kindred Products,31-33,67
FEIN 980420726,0001306830,CE,Celanese Corp,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",31-33,67
FEIN 271038236,0001631574,WVE,"Wave Life Sciences, Inc.",2834,Pharmaceutical Preparations,31-33,67
FEIN 770623294,0001692819,VST,Vistra Corp.,4911,Electric Services,22,66
FEIN 260413897,0001411207,ALSN,Allison Transmission Holdings Inc,3714,Motor Vehicle Parts & Accessories,31-33,66
FEIN 831381173,0001770121,SANA,"Sana Biotechnology, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,66
FEIN 161590339,0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",3826,Laboratory Analytical Instruments,31-33,66
TARGET,0000027419,TGT,TARGET CORP,5331,Retail-Variety Stores,44-45,65
FEIN 943112828,0000917273,RMBS,RAMBUS INC,3674,Semiconductors & Related Devices,31-33,65
DOLBY LABORATORIES,0001308547,DLB,"Dolby Laboratories, Inc.",6794,Patent Owners & Lessors,52,65
FEIN 455372621,0001603015,VIA,"Via Transportation, Inc.",7372,Services-Prepackaged Software,51,65
FEIN 521975978,0001013934,STRA,"Strategic Education, Inc.",8200,Services-Educational Services,61,65
FEIN 901112566,0001580864,VRM,"Vroom, Inc.",5500,Retail-Auto Dealers & Gasoline Stations,44-45,65
HSBC,0001089113,HSBC,HSBC HOLDINGS PLC,6035,"Savings Institution, Federally Chartered",52,64
FEIN 954673646,0001032208,SRE,SEMPRA,4932,Gas & Other Services Combined,22,64
FEIN 470351813,0000102729,VMI,VALMONT INDUSTRIES INC,3440,Fabricated Structural Metal Products,31-33,64
FEIN 954774688,0001157408,LRN,"Stride, Inc.",8200,Services-Educational Services,61,64
FEIN 460784178,0001850351,LFTO,"Liftoff Mobile, Inc.",7374,Services-Computer Processing & Data Preparation,54,64
ADVANCE AUTO PARTS,0001158449,AAP,ADVANCE AUTO PARTS INC,5531,Retail-Auto & Home Supply Stores,44-45,64
FEIN 580506554,0000025475,CRD-A,CRAWFORD & CO,6411,"Insurance Agents, Brokers & Service",52,64
VERRA MOBILITY,0001682745,VRRM,VERRA MOBILITY Corp,4700,Transportation Services,48-49,64
DOMINION ENERGY,0000715957,D,"DOMINION ENERGY, INC",4911,Electric Services,22,63
FEIN 814133785,0001754180,VNTXF,VANTA HOLDINGS INC.,,,,63
WARNER BROS DISCOVERY,0001437107,WBD,"Warner Bros. Discovery, Inc.",4841,Cable & Other Pay Television Services,51,62
FEIN 841428543,0001030894,CLS,CELESTICA INC,3672,Printed Circuit Boards,31-33,62
ATI,0001018963,ATI,ATI INC,3317,Steel Pipe & Tubes,31-33,62
FEIN 310595760,0000021076,CLX,CLOROX CO /DE/,2842,"Specialty Cleaning, Polishing and Sanitation Preparations",31-33,62
FEIN 410858903,0000056679,KFY,KORN FERRY,7361,Services-Employment Agencies,56,62
FEIN 943316839,0001217234,CDNA,"CareDx, Inc.",8071,Services-Medical Laboratories,62,62
FEIN 208059722,0001614178,YEXT,"Yext, Inc.",7374,Services-Computer Processing & Data Preparation,54,62
CHURCH AND DWIGHT,0000313927,CHD,CHURCH & DWIGHT CO INC /DE/,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",31-33,61
BUILDERS FIRSTSOURCE,0001316835,BLDR,"Builders FirstSource, Inc.",5211,Retail-Lumber & Other Building Materials Dealers,44-45,61
FEIN 811358701,0001828791,DSP,Viant Technology Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",54,61
CANON,0000016988,CAJPY,CANON INC,3861,Photographic Equipment & Supplies,31-33,61
FEIN 411597886,0000827187,SNBRQ,Sleep Number Corp,2510,Household Furniture,31-33,61
FEIN 530257888,0000029905,DOV,DOVER Corp,3530,"Construction, Mining & Materials Handling Machinery & Equip",31-33,60
FEIN 331224916,0001800667,FROG,JFrog Ltd,7372,Services-Prepackaged Software,51,60
PEARSON,0000938323,PSO,PEARSON PLC,2731,Books: Publishing or  Publishing & Printing,31-33,60
FEIN 760236465,0001639691,LIVN,LivaNova PLC,3845,Electromedical & Electrotherapeutic Apparatus,31-33,60
FEIN 363514169,0000814453,NWL,NEWELL BRANDS INC.,3089,"Plastics Products, NEC",31-33,60
FEIN 611203323,0000901491,PZZA,PAPA JOHNS INTERNATIONAL INC,5812,Retail-Eating  Places,72,60
FEIN 310746639,0001319947,DBI,Designer Brands Inc.,5661,Retail-Shoe Stores,44-45,60
FEIN 843559776,0001839285,HCTI,"Healthcare Triangle, Inc.",7373,Services-Computer Integrated Systems Design,54,60
FEIN 222785165,0000820313,APH,AMPHENOL CORP /DE/,3678,Electronic Connectors,31-33,59
ENTERGY,0000065984,ETR,ENTERGY CORP /DE/,4911,Electric Services,22,59
FEIN 020713868,0001451809,SITM,SITIME Corp,3674,Semiconductors & Related Devices,31-33,59
SIRIUS XM,0000908937,SIRI,SIRIUS XM HOLDINGS INC.,4832,Radio Broadcasting Stations,51,59
FEIN 231180120,0000103379,VFC,V F CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",31-33,59
HARLEY DAVIDSON,0000793952,HOG,"HARLEY-DAVIDSON, INC.",3751,"Motorcycles, Bicycles & Parts",31-33,59
FEIN 020513618,0001050377,CNXN,PC CONNECTION INC,5045,Wholesale-Computers & Peripheral Equipment & Software,42,59
FEIN 954352386,0000003570,LNG,"Cheniere Energy, Inc.",4924,Natural Gas Distribution,22,58
FEIN 251615902,0000943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,3743,Railroad Equipment,31-33,58
MGM RESORTS INTERNATIONAL,0000789570,MGM,MGM Resorts International,7011,Hotels & Motels,72,58
HILTON GRAND VACATIONS,0001674168,HGV,Hilton Grand Vacations Inc.,7000,"Hotels, Rooming Houses, Camps & Other Lodging Places",72,58
FEIN 454771485,0001569345,CXM,"Sprinklr, Inc.",7372,Services-Prepackaged Software,51,58
FEIN 050155090,0000046080,HAS,"HASBRO, INC.",3944,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",31-33,57
FEIN 811789115,0001675149,AA,Alcoa Corp,3334,Primary Production of  Aluminum,31-33,57
FEIN 043040660,0000933974,AZTA,"Azenta, Inc.",3559,"Special Industry Machinery, NEC",31-33,57
FLEX,0000866374,FLEX,FLEX LTD.,3672,Printed Circuit Boards,31-33,56
FEIN 911069248,0000746515,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,4731,Arrangement of  Transportation of  Freight & Cargo,48-49,56
FEIN 770629474,0001500435,GPRO,"GoPro, Inc.",3861,Photographic Equipment & Supplies,31-33,56
TAILORED BRANDS,0002045151,MW,"Tailored Brands, Inc. / DE",5600,Retail-Apparel & Accessory Stores,44-45,56
FEIN 510350842,0000946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372,Services-Prepackaged Software,51,55
GENWORTH FINANCIAL,0001276520,GNW,GENWORTH FINANCIAL INC,6311,Life Insurance,52,55
FEIN 452505271,0001676238,BRZE,"Braze, Inc.",7372,Services-Prepackaged Software,51,55
FEIN 815238376,0001745999,BEAM,Beam Therapeutics Inc.,2836,"Biological Products, (No Diagnostic Substances)",31-33,55
FEIN 812730369,0001706431,VIR,"Vir Biotechnology, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,55
FEIN 562428818,0001681556,GXXM,"GEX MANAGEMENT, INC.",8742,Services-Management Consulting Services,54,55
SELECTIVE INSURANCE,0000230557,SIGI,SELECTIVE INSURANCE GROUP INC,6331,"Fire, Marine & Casualty Insurance",52,54
FEIN 042929221,0001748824,AAMI,Acadian Asset Management Inc.,6282,Investment Advice,52,54
FEIN 384061754,0001736946,ARLO,"Arlo Technologies, Inc.",7381,"Services-Detective, Guard & Armored Car Services",56,54
FEIN 570847115,0001519401,RM,Regional Management Corp.,6141,Personal Credit Institutions,52,54
PRINCIPAL FINANCIAL,0001126328,PFG,PRINCIPAL FINANCIAL GROUP INC,6321,Accident & Health Insurance,52,53
FEIN 880085720,0001692115,SWX,"Southwest Gas Holdings, Inc.",4923,Natural Gas Transmisison & Distribution,22,53
FEIN 742976504,0001126956,SR,SPIRE INC,4924,Natural Gas Distribution,22,53
ARCHER AVIATION,0001824502,ACHR,Archer Aviation Inc.,3721,Aircraft,31-33,53
FEIN 954048939,0000910638,DDD,3D SYSTEMS CORP,7372,Services-Prepackaged Software,51,53
FEIN 364466253,0001683606,CARS,Cars.com Inc.,7374,Services-Computer Processing & Data Preparation,54,53
FEIN 810422894,0000750004,LNWO,"Light & Wonder, Inc.",7373,Services-Computer Integrated Systems Design,54,53
AUTOMATIC DATA PROCESSING,0000008670,ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,54,52
FEIN 813181024,0001788451,LIFE,Ethos Technologies Inc.,6411,"Insurance Agents, Brokers & Service",52,52
FEIN 042797789,0001023313,FORR,"FORRESTER RESEARCH, INC.",8700,"Services-Engineering, Accounting, Research, Management",54,52
FEIN 160716709,0000016918,STZ,"CONSTELLATION BRANDS, INC.",2080,Beverages,31-33,51
FEIN 461809607,0001811935,PTRN,Pattern Group Inc.,5961,Retail-Catalog & Mail-Order Houses,44-45,51
FEIN 204327508,0001438133,TNDM,TANDEM DIABETES CARE INC,3841,Surgical & Medical Instruments & Apparatus,31-33,51
DAIMLER AG,0001067318,MBGAF,DAIMLER AG,3711,Motor Vehicles & Passenger Car Bodies,31-33,51
FEIN 521984749,0001082554,UTHR,UNITED THERAPEUTICS Corp,2834,Pharmaceutical Preparations,31-33,50
FEIN 990385461,0001583708,S,"SentinelOne, Inc.",7372,Services-Prepackaged Software,51,50
FEIN 341464672,0000764065,CLF,CLEVELAND-CLIFFS INC.,1000,Metal Mining,21,50
FEIN 933191139,0001519751,FBIN,"Fortune Brands Innovations, Inc.",2430,"Millwood, Veneer, Plywood, & Structural Wood Members",31-33,50
FEIN 463872213,0001714899,DNLI,Denali Therapeutics Inc.,2836,"Biological Products, (No Diagnostic Substances)",31-33,50
FEIN 750225040,0000099780,TRN,TRINITY INDUSTRIES INC,3743,Railroad Equipment,31-33,50
FEIN 270690799,0001580560,FLYW,Flywire Corp,7389,"Services-Business Services, NEC",56,50
FEIN 350225010,0000026058,CTS,CTS CORP,3672,Printed Circuit Boards,31-33,50
FEIN 452056131,0001740604,BTGO,"BITGO HOLDINGS, INC.",6199,Finance Services,52,50
FEIN 320272653,0001281721,SGIOF,SHIONOGI & CO LTD,8880,American Depositary Receipts,,50
FEIN 223627703,0001049521,MRCY,MERCURY SYSTEMS INC,3670,Electronic Components & Accessories,31-33,49
FEIN 260662915,0001439222,AGIO,"AGIOS PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,31-33,49
FEIN 812562661,0002017526,FRNM,"Freenome, Inc.",8071,Services-Medical Laboratories,62,49
FEIN 842807586,0001861123,EIKN,"Eikon Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,49
FEIN 274296867,0001861795,DH,Definitive Healthcare Corp.,7372,Services-Prepackaged Software,51,49
FEIN 340276860,0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",31-33,48
WARNER MUSIC,0001319161,WMG,Warner Music Group Corp.,7900,Services-Amusement & Recreation Services,71,48
FEIN 412116508,0001366868,GSAT,"Globalstar, Inc.",4899,"Communications Services, NEC",51,48
FEIN 341818596,0001113232,ACLS,AXCELIS TECHNOLOGIES INC,3559,"Special Industry Machinery, NEC",31-33,48
FEIN 910462470,0000104918,AVA,AVISTA CORP,4931,Electric & Other Services Combined,22,48
FEIN 263101161,0001640428,EVER,"EverQuote, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,48
ALCON,0001167379,ALC,ALCON INC,3851,Ophthalmic Goods,31-33,47
FEIN 330525145,0000914475,NBIX,NEUROCRINE BIOSCIENCES INC,2836,"Biological Products, (No Diagnostic Substances)",31-33,47
FEIN 042882273,0000313143,HAE,HAEMONETICS CORP,3841,Surgical & Medical Instruments & Apparatus,31-33,47
FEIN 770218904,0000851520,EXPO,EXPONENT INC,8742,Services-Management Consulting Services,54,47
FEIN 341940305,0001323885,ATRC,"AtriCure, Inc.",3841,Surgical & Medical Instruments & Apparatus,31-33,47
FEIN 270838048,0001549595,NRIX,"Nurix Therapeutics, Inc.",2834,Pharmaceutical Preparations,31-33,47
FEIN 208280144,0001524566,WLTH,WEALTHFRONT CORP,6199,Finance Services,52,47
FEIN 475495280,0001819493,XOS,"Xos, Inc.",3714,Motor Vehicle Parts & Accessories,31-33,47
SEAGATE TECHNOLOGY,0001137789,STX,Seagate Technology Holdings plc,3572,Computer Storage Devices,31-33,46
TENET HEALTHCARE,0000070318,THC,TENET HEALTHCARE CORP,8062,"Services-General Medical & Surgical Hospitals, NEC",62,46
FRANKLIN TEMPLETON,0000038777,BEN,FRANKLIN TEMPLETON INC,6282,Investment Advice,52,46
FEIN 113136595,0001000228,HSIC,HENRY SCHEIN INC,5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",42,46
WEATHERFORD INTERNATIONAL,0001603923,WFRD,Weatherford International plc,3533,Oil & Gas Field Machinery & Equipment,31-33,46
FEIN 363601505,0000913142,BDC,BELDEN INC.,3357,Drawing & Insulating of  Nonferrous Wire,31-33,46
FEIN 264087597,0001655210,BYND,"BEYOND MEAT, INC.",2000,Food and Kindred Products,31-33,46
FEIN 770466366,0001066194,EGAN,EGAIN Corp,7372,Services-Prepackaged Software,51,46
WILLIAMS COMPANIES,0000107263,WMB,"WILLIAMS COMPANIES, INC.",4922,Natural Gas Transmission,22,45
FEIN 340538550,0000091419,SJM,J M SMUCKER Co,2033,"Canned, Fruits, Veg, Preserves, Jams & Jellies",31-33,45
FEIN 133404508,0000908255,BWA,BORGWARNER INC,3714,Motor Vehicle Parts & Accessories,31-33,45
FEIN 431273600,0000720672,SF,STIFEL FINANCIAL CORP,6211,"Security Brokers, Dealers & Flotation Companies",52,45
